id,title,hashtags,view_count,duration,channel,channel_id,description,description_links,created_at,like_count,dislike_count,subscriber_count,hours ago posted,total_interactions,video_url
FZ3LrFY9u12x,Sunny yoga in nature with Erika - Part 7,"#sexy,#yoga,#relaxation",123,2:52,Yoga & Gymnastics,yogaygym,"Today's video is a wholesome weekend vlog spending time well balanced sequence provides you with everything you need to get your daily dose of flexibility, mobility & relaxation.

",[],15 hours ago,3,1,39,15.0,127,https://api.bitchute.com/video/FZ3LrFY9u12x
BfbZmTVGWvY,Shifu Kanishka Kung Fu Seminar - Inspirational Mentor / Extraordinary Teacher and Trainor,No Hashtags,72,0:24,Jerry Dozier,jerrydozier1gmailcom,"Shifu Kanishka travels the world to visit his students and provides the best in martial arts training. Whether you attend his seminars, visit the Shaolin Gurukul, or participate in his online training, it is simply the best. More information on training with Shifu Kanishka is available at: <https://www.shifukanishka.com/courses/>

",['https://www.shifukanishka.com/courses/'],11 hours ago,0,0,6,11.0,72,https://api.bitchute.com/video/BfbZmTVGWvY
MGSAw18UhCeU,BKFC Prospects Newcastle,"#BKFC,#bareknuckle,#fighting",62,1:51:51,redpantynight,redpantynight,"BKFC   
Prospects  
Newcastle

",[],16 hours ago,2,0,90,16.0,64,https://api.bitchute.com/video/MGSAw18UhCeU
CyKP84VGkNBI,"The Worm Prophecy - Part 8 - (the double portion, 888 connection)","#worm,#prophecy,#jonah",50,26:42,Non-Anonymous Charity,non-anonymous-charity,"Non-Anonymous Charity (channels)  
.  
<https://rumble.com/user/NonAnonymousCharity>  
<https://archive.org/details/@non-anonymous_charity>  
<https://www.bitchute.com/non-anonymous-charity/>  
.  
(sub-channels on rumble)  
<https://rumble.com/NonAnonymousCharity>  
<https://rumble.com/ForTheTribulationSaints>  
<https://rumble.com/PrepareForTheApocalypse>  
.  
telegram  
.  
t.me/nonanonymouscharity  
t.me/forthetribulationsaints  
t.me/preparefortheapocalypse  
.  
HS inspired worship videos and Scripture/Messages  
.  
The Revelation of Jesus Christ \*\*fully animated\*\* (James Earl Jones narration KJV)  
<https://rumble.com/v274510-the-revelation-of-jesus-christ-fully-animated-james-earl-jones-narration-kj.html>  
Tribulation Tracks - (life-changing songs in END TIMES) Serj Tankian, Chris Cornell, Daron Malakian - Album  
<https://rumble.com/v2dtjtu-tribulation-tracks-life-changing-songs-in-end-times-serj-tankian-chris-corn.html>  
666 Songs - (End Times Music Album)  
<https://rumble.com/v2nb5gg-666-songs.html>  
Last Call - (End Times Music Album)  
<https://rumble.com/v2uh3es-last-call-non-anonymous-charity.html>  
 Old to New, Waiting for YOU - Col 3:1-4 (End Times Music Album)   
<https://rumble.com/v3udhqg-old-to-new-waiting-for-you-col-31-4-end-times-music-album.html>  
Jesus Christ's/Tribulation Saint's victory over satan/antichrist explained through movies  
<https://rumble.com/v2brmy4-jesus-christstribulation-saints-victory-over-satanantichrist-explained-thro.html>  
The Most Powerful Hell Fire Sermon - Pastor Charles Lawson  
<https://rumble.com/v2dlxw8-the-most-powerful-hell-fire-sermon-pastor-charles-lawson.html>  
.  
.  
MP3 format - zip collection downloads of this content available here  
.  
audio - For the Tribulation Saints MP3 songs only, 54 songs total (entire collection of Tribulation themed worship songs from channel)  
<https://archive.org/details/forthetribulationsaintsmp-3songs>  
audio - Who Is The Antichrist 8 Part Series Complete MP 3 Only ( Non Anonymous Charity)  
<https://archive.org/details/who-is-the-antichrist-8-part-series-complete-mp-3-only-non-anonymous-charity>  


","['https://rumble.com/user/NonAnonymousCharity', 'https://archive.org/details/@non-anonymous_charity', 'https://www.bitchute.com/non-anonymous-charity/', 'https://rumble.com/NonAnonymousCharity', 'https://rumble.com/ForTheTribulationSaints', 'https://rumble.com/PrepareForTheApocalypse', 'https://rumble.com/v274510-the-revelation-of-jesus-christ-fully-animated-james-earl-jones-narration-kj.html', 'https://rumble.com/v2dtjtu-tribulation-tracks-life-changing-songs-in-end-times-serj-tankian-chris-corn.html', 'https://rumble.com/v2nb5gg-666-songs.html', 'https://rumble.com/v2uh3es-last-call-non-anonymous-charity.html', 'https://rumble.com/v3udhqg-old-to-new-waiting-for-you-col-31-4-end-times-music-album.html', 'https://rumble.com/v2brmy4-jesus-christstribulation-saints-victory-over-satanantichrist-explained-thro.html', 'https://rumble.com/v2dlxw8-the-most-powerful-hell-fire-sermon-pastor-charles-lawson.html', 'https://archive.org/details/forthetribulationsaintsmp-3songs', 'https://archive.org/details/who-is-the-antichrist-8-part-series-complete-mp-3-only-non-anonymous-charity']",20 hours ago,1,0,207,20.0,51,https://api.bitchute.com/video/CyKP84VGkNBI
gwsWLWAQiho,Title: The Epic Battle for Major Victory: Rory vs. Aberg vs. Koepka!,No Hashtags,37,0:46,Game On! Sports News and Picks,gameon_picks,"Witness the intense competition as Rory, Aberg, and Koepka vie for a major championship. Join us as we discuss their chances, predictions, and the potential for a thrilling showdown. Who will emerge victorious? Watch now to find out! #GolfBattles #MajorChampionship #RoryVsAbergVsKoepka #IntenseCompetition #GolfPredictions #ThrillingShowdown #GolfLegends #PGAChampionship #GolfFever #GolfEnthusiasts

",[],14 hours ago,0,0,22,14.0,37,https://api.bitchute.com/video/gwsWLWAQiho
G-VRYAX6kuk,"FN USA FN-15 Guardian Review | Great ""Budget Friendly"" Rifle",No Hashtags,35,8:59,PrepperJunkie,prepperjunkie,"Same video with links to buy: <https://bit.ly/3RFkkHQ>


Follow me on social media:   
Twitter: <https://x.com/ArmedScotsman>  
Rumble: <https://rumble.com/c/TheArmedScotsman>

","['https://bit.ly/3RFkkHQ', 'https://x.com/ArmedScotsman', 'https://rumble.com/c/TheArmedScotsman']",5 hours ago,1,0,126,5.0,36,https://api.bitchute.com/video/G-VRYAX6kuk
9hgJhdqmB6Q,"🌼10 Minute Gentle Yoga for Healing, Quick and Effective Shoulder Recovery Yoga Routine w/ Alex",No Hashtags,34,12:06,PsycheTruth,psychetruth,"10 Minute Yoga Workout for Upper Body Recovery Routine w/ Alex  
Join us on Yoga Plus and enjoy a 14-Day Trial FREE. Visit us at: <https://wellnessplus.tv/yogaplus> 🌟🧘‍♀️


Follow us on Social Media:  
🥰 <https://hype.co/@psychetruth>  
👉 <https://www.instagram.com/psychetruth>  
👉 [http://www.facebook.com/psychetruthvideos](https://www.facebook.com/psychetruthvideos)


Welcome to our Shoulder Recovery Yoga Class! 🙌 If you've recently suffered a shoulder injury and are looking for effective yoga exercises to regain strength and mobility, this video is for you. Our gentle, equipment-free yoga routine focuses on shoulder rehabilitation, helping you recover safely and effectively at home.


In this video, you'll learn:


Gentle Neck and Shoulder Stretches: Start with soothing head rolls and shoulder rolls to relieve tension and prepare your muscles for deeper stretches.  
Effective Shoulder Exercises: Engage in targeted movements like big arm circles and shoulder pumps to rebuild strength and flexibility.  
Deep Stretching Techniques: Experience the benefits of gentle stretches and baby cobras to open up your chest and enhance your shoulder mobility.  
Relaxation and Recovery: Enjoy mindful moments of relaxation and deep breathing to support your healing process.

","['https://wellnessplus.tv/yogaplus', 'https://hype.co/@psychetruth', 'https://www.instagram.com/psychetruth', 'https://www.facebook.com/psychetruthvideos']",8 hours ago,1,0,465,8.0,35,https://api.bitchute.com/video/9hgJhdqmB6Q
wbgyDqk99V2q,Teaser - What would Tate eat? | Tate Confidential Ep 238,No Hashtags,27,2:02,Andrew Tate,andrewtate,"Watch the full episode at <https://rumble.com/v559yoy-what-would-tate-eat-tate-confidential-ep-238.html>

",['https://rumble.com/v559yoy-what-would-tate-eat-tate-confidential-ep-238.html'],6 hours ago,1,0,1130,6.0,28,https://api.bitchute.com/video/wbgyDqk99V2q
oC2KYWBQrsMj,𝐑𝐞𝐜𝐨𝐫𝐝 𝐛𝐫𝐨𝐤𝐞𝐧! A 35th Stage win at the Tour de France for Sir Mark Cavendish,"#tourdefrance,#sport,#cycling",23,1:29,Jjack,jjack,No Description,[],52 minutes ago,0,0,4176,0.8666666666666667,23,https://api.bitchute.com/video/oC2KYWBQrsMj
7lZkufJZeVc,Pauses and Volume Work Olympic Weightlifting Training,No Hashtags,20,7:18,Jim W,jimw,"Instagram: <https://www.instagram.com/jimthethe/>

",['https://www.instagram.com/jimthethe/'],19 hours ago,0,0,147,19.0,20,https://api.bitchute.com/video/7lZkufJZeVc
